municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 04:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 05:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 06:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 07:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 08:10:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 08:20:00.0;4,60
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 08:30:00.0;3,80
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 08:40:00.0;5,60
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 08:50:00.0;2,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 09:00:00.0;1,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 09:10:00.0;1,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 09:20:00.0;0,80
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 09:30:00.0;0,60
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 09:40:00.0;1,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 09:50:00.0;0,60
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 10:00:00.0;0,40
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 10:10:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 10:20:00.0;0,40
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 10:30:00.0;0,60
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 10:40:00.0;0,80
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 10:50:00.0;0,80
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 11:00:00.0;0,60
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 11:10:00.0;0,80
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 11:20:00.0;1,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 11:30:00.0;1,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 11:40:00.0;0,80
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 11:50:00.0;0,40
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 12:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 13:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 14:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 14:30:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 15:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 16:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 17:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 18:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 19:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 20:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 21:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 22:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-19 23:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 00:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 01:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 02:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 03:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 04:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 05:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 06:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 07:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 08:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 09:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 10:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 11:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 12:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 13:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 14:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 15:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 16:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 17:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 18:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 19:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 20:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 21:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 22:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-20 23:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 00:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 01:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 02:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 03:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 04:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 05:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 06:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 07:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 08:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 09:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 10:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 11:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 12:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 13:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 14:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 15:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 16:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 17:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 18:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 19:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 19:20:00.0;1,80
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 19:30:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 19:50:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 20:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 21:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 22:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-21 23:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 00:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 01:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 02:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 03:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 04:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 05:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 06:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 07:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 08:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 09:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 10:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 11:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 12:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 13:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 14:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 15:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 15:30:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 15:40:00.0;1,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 15:50:00.0;0,80
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 16:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 17:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 18:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 19:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 20:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 21:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 22:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-22 23:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 00:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 01:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 02:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 03:10:00.0;0,00
